state,year,tavg
Alabama,2016,82.0
Alabama,2016,81.6
Alabama,2016,78.6
Alabama,2016,68.5
Alabama,2016,57.8
Alabama,2016,50.1
Alabama,2017,52.4
Alabama,2017,55.5
Alabama,2017,58.4
Alabama,2017,67.1
Alabama,2017,69.9
Alabama,2017,75.8
Alabama,2017,80.6
Alabama,2017,78.7
Alabama,2017,73.4
Alabama,2017,65.8
Alabama,2017,55.6
Alabama,2017,47.0
Alabama,2018,40.4
Alabama,2018,58.0
Alabama,2018,55.5
Alabama,2018,59.6
Arizona,1950,39.5
Arizona,1950,47.5
Arizona,1950,50.7
Arizona,1950,60.1
Arizona,1950,63.6
Arizona,1950,73.4
Arizona,1950,77.8
Arizona,1950,77.0
Arizona,1950,69.5
Arizona,1950,66.7
Arizona,1950,53.0
Arizona,1950,47.1
Arizona,1951,40.6
Arizona,1951,44.2
Arizona,1951,48.3
Arizona,1951,56.3
Arizona,1951,65.2
Arizona,1951,72.0
Arizona,1951,81.4
Arizona,1951,76.9
Arizona,1951,73.0
Arizona,1951,61.0
Arizona,1951,47.6
Arizona,1951,39.8
Arizona,1952,40.4
Arizona,1952,42.6
Arizona,1952,43.2
Arizona,1952,56.5
Arizona,1952,67.4
Arizona,1952,73.4
Arizona,1952,78.8
Arizona,1952,79.1
Arizona,1952,73.8
Arizona,1952,65.7
Arizona,1952,45.0
Arizona,1952,40.0
Arizona,1953,45.2
Arizona,1953,43.1
Arizona,1953,50.3
Arizona,1953,55.8
Arizona,1953,59.8
Arizona,1953,74.5
Arizona,1953,80.5
Arizona,1953,77.3
Arizona,1953,73.5
Arizona,1953,60.9
Arizona,1953,51.2
Arizona,1953,38.9
Arizona,1954,42.3
Arizona,1954,49.9
Arizona,1954,47.8
Arizona,1954,61.4
Arizona,1954,67.5
Arizona,1954,73.6
Arizona,1954,80.5
Arizona,1954,76.1
Arizona,1954,73.4
Arizona,1954,63.6
Arizona,1954,52.7
Arizona,1954,41.8
Arizona,1955,37.0
Arizona,1955,39.0
Arizona,1955,49.1
Arizona,1955,54.4
Arizona,1955,63.6
Arizona,1955,72.7
Arizona,1955,77.0
Arizona,1955,76.9
Arizona,1955,72.6
Arizona,1955,64.4
Arizona,1955,49.3
Arizona,1955,45.4
Arizona,1956,45.6
Arizona,1956,39.6
Arizona,1956,50.6
Arizona,1956,55.6
Arizona,1956,67.1
Arizona,1956,77.3
Arizona,1956,78.5
Arizona,1956,76.0
Arizona,1956,75.5
Arizona,1956,61.0
Arizona,1956,46.2
Arizona,1956,41.5
Arizona,1957,42.6
Arizona,1957,50.9
Arizona,1957,50.6
Arizona,1957,55.4
Arizona,1957,61.3
Arizona,1957,76.1
Arizona,1957,80.2
Arizona,1957,77.1
Arizona,1957,72.0
Arizona,1957,59.1
Arizona,1957,45.0
Arizona,1957,44.2
Arizona,1958,41.4
Arizona,1958,47.3
Arizona,1958,45.0
Arizona,1958,55.2
Arizona,1958,69.7
Arizona,1958,76.5
Arizona,1958,80.1
Arizona,1958,79.5
Arizona,1958,72.2
Arizona,1958,62.8
Arizona,1958,48.9
Arizona,1958,46.1
Arizona,1959,43.2
Arizona,1959,42.8
Arizona,1959,50.3
Arizona,1959,60.5
Arizona,1959,64.4
Arizona,1959,77.9
Arizona,1959,82.0
Arizona,1959,76.5
Arizona,1959,71.1
Arizona,1959,61.5
Arizona,1959,49.4
Arizona,1959,42.8
Arizona,1960,36.1
Arizona,1960,40.4
Arizona,1960,52.9
Arizona,1960,58.2
Arizona,1960,65.3
Arizona,1960,77.9
Arizona,1960,81.2
Arizona,1960,79.3
Arizona,1960,74.2
Arizona,1960,59.7
Arizona,1960,50.2
Arizona,1960,39.5
Arizona,1961,42.1
Arizona,1961,46.0
Arizona,1961,49.4
Arizona,1961,57.8
Arizona,1961,65.1
Arizona,1961,77.9
Arizona,1961,80.9
Arizona,1961,77.4
Arizona,1961,69.1
Arizona,1961,59.7
Arizona,1961,46.6
Arizona,1961,39.1
Arizona,1962,38.8
Arizona,1962,45.0
Arizona,1962,44.7
Arizona,1962,61.6
Arizona,1962,63.3
Arizona,1962,73.2
Arizona,1962,79.0
Arizona,1962,79.9
Arizona,1962,73.4
Arizona,1962,62.1
Arizona,1962,53.0
Arizona,1962,44.0
Arizona,1963,37.3
Arizona,1963,49.2
Arizona,1963,48.6
Arizona,1963,54.5
Arizona,1963,68.2
Arizona,1963,71.6
Arizona,1963,81.5
