state,year,tmax
Arizona,1973,94.4
Arizona,1973,93.0
Arizona,1973,87.5
Arizona,1973,78.7
Arizona,1973,63.5
Arizona,1973,57.6
Arizona,1974,51.4
Arizona,1974,57.7
Arizona,1974,66.4
Arizona,1974,72.3
Arizona,1974,84.0
Arizona,1974,96.4
Arizona,1974,92.4
Arizona,1974,91.9
Arizona,1974,86.3
Arizona,1974,74.4
Arizona,1974,62.3
Arizona,1974,51.5
Arizona,1975,53.5
Arizona,1975,55.8
Arizona,1975,59.8
Arizona,1975,64.4
Arizona,1975,78.4
Arizona,1975,90.0
Arizona,1975,93.1
Arizona,1975,93.3
Arizona,1975,86.1
Arizona,1975,76.5
Arizona,1975,64.0
Arizona,1975,54.9
Arizona,1976,56.1
Arizona,1976,60.4
Arizona,1976,62.2
Arizona,1976,69.9
Arizona,1976,81.6
Arizona,1976,91.2
Arizona,1976,92.5
Arizona,1976,91.8
Arizona,1976,82.7
Arizona,1976,72.4
Arizona,1976,64.7
Arizona,1976,56.2
Arizona,1977,51.0
Arizona,1977,62.1
Arizona,1977,60.6
Arizona,1977,74.0
Arizona,1977,76.3
Arizona,1977,92.8
Arizona,1977,93.9
Arizona,1977,92.4
Arizona,1977,86.9
Arizona,1977,77.9
Arizona,1977,66.3
Arizona,1977,59.8
Arizona,1978,53.3
Arizona,1978,55.4
Arizona,1978,64.6
Arizona,1978,70.4
Arizona,1978,80.1
Arizona,1978,93.6
Arizona,1978,96.1
